market_type,assets_id,assets_short_cn_name,assets_full_cn_name,party_short_cn_name,party_short_en_name,party_full_cn_name,party_full_en_name,party_url,description,location,founding_time,listing_time,section_tags,stakeholders
H股,00011.XHKG,恒生银行,恒生银行,恒生银行,HANG SENG BANK,恒生银行有限公司,Hang Seng Bank Limited,www.hangseng.com,恒生银行有限公司是一家主要从事商业银行业务的公司。该公司通过四个分部经营其业务。财富管理及个人银行业务分部从事提供个人银行、消费贷款、定期存款、按揭及私人贷款、信用卡、保险及财富管理服务。商业银行业务分部从事企业贷款、贸易及应收账融资、支付及现金管理、财资及外汇、非人寿保险、要员保险、投资服务及企业财富管理业务。环球银行及资本市场业务分部提供专门设计的财务解决方案。其他分部从事物业、股票投资。,香港德辅道中83号,1952-12-05,1972-06-20,银行,,
H股,00012.XHKG,恒基地产,恒基地产,恒基地产,HENDERSON LAND,恒基兆业地产有限公司,Henderson Land Development Company Limited,www.hld.com,"恒基兆业地产有限公司是一家主要从事房地产开发的投资控股公司。该公司通过五个分部经营业务。物业发展分部从事物业的发展和销售。物业租赁分部从事物业租赁。百货业务分部从事百货公司经营及管理。其他业务分部从事酒店经营及管理、建筑工程、提供财务借贷、投资控股、项目管理、物业管理、代理 人服务、清洁和保安服务,以及建筑材料贸易及出售租赁土地。公用事业及能源分部从事燃气的生产、输送及销售和经营水务供应及新兴环保能源业务。",香港中环金融街8号国际金融中心二期72-76楼,1976-01-16,1981-07-23,地产,,
H股,00014.XHKG,希慎兴业,希慎兴业,希慎兴业,HYSAN DEV,希慎兴业有限公司,Hysan Development Company Limited,www.hysan.com.hk,希慎兴业有限公司是一家主要从事物业租赁的公司。该公司通过四个分部经营其业务。商舖分部从事商舖及相关设施的租赁。写字楼分部从事写字楼及相关设施的租赁。住宅分部从事住宅物业及相关设施的租赁。物业发展分部从事物业的发展和销售。,香港铜锣湾希慎道33号利园一期49楼,1970-10-20,1981-09-18,地产,,
H股,00015.XHKG,盈信,盈信控股,盈信控股,VANTAGE INTL,盈信控股有限公司,Vantage International (Holdings) Limited,www.vantageholdings.com,盈信控股有限公司是一家从事地产业务的香港投资控股公司。该公司通过三大业务分部运营。合约工程分部从事楼宇建筑、翻新、维修及保养业务。物业投资及发展分部主要从事零售、商用及住宅物业的投资及发展业务。融资分部在香港从事放债业务。,香港九龙九龙塘窝打老道155号,,2000-09-08,建筑,,
H股,00016.XHKG,新鸿基地产,新鸿基地产,新鸿基地产,SHK PPT,新鸿基地产发展有限公司,Sun Hung Kai Properties Limited,www.shkp.com,新鸿基地产发展有限公司是一家主要从事物业销售的投资控股公司。公司及其子公司通过六大分部运营：物业销售分部，物业租赁分部，电讯分部，酒店经营分部，运输基建及物流分部，其他业务分部。物业销售部门及物业出租部门在香港、中国大陆及新加坡开展业务。电讯分部从事提供流动电话服务，以及数据中心及资讯科技基建业务。运输基建及物流分部从事运输基建营运及管理，港口业务，航空货运及物流业务，通过一田经营百货公司和超级市场。,香港湾仔港湾道30号新鸿基中心45楼,1972-07-14,1972-09-08,地产,,
H股,00017.XHKG,新世界,新世界发展,新世界发展,NEW WORLD DEV,新世界发展有限公司,New World Development Company Limited,www.nwd.com.hk,新世界发展有限公司是一家主要从事物业发展的投资控股公司。公司及其子公司通过七大分部运营：物业发展分部，服务分部，百货分部，物业投资分部，基建分部，酒店营运分部和其他分部。物业发展分部从事建设住宅单位。住宅单位包括SKYPARK、瑧璈、深圳新世界倚山花园、深圳新世界名镌等。服务分部提供物业和设施管理，交通运输服务及其他服务。基建分部从事经营公路，环境项目，商务飞机租赁，货柜处理，物流及仓库服务，其他分部从事电讯，媒体，科技及其他策略性业务。,香港中环皇后大道中16–18号新世界大厦30楼,1970-05-29,1972-11-23,地产,,
H股,00018.XHKG,东方报业,东方报业集团,东方报业集团,ORIENTAL PRESS,东方报业集团有限公司,Oriental Press Group Ltd,www.opg.com.hk,东方报业集团有限公司是一家主要从事出版业务的香港投资控股公司。该公司业务包括报纸出版、企业管理、互联网订阅及广告业务、物业投资、酒店营运及餐厅营运。该公司旗下品牌包括“东方日报”、“on.cc东网”、“东网Money 18”及“ontv东网电视”等。,香港大埔工业擥大昌街23号东方报业中心,1969-01-14,1987-08-18,媒体及娱乐,,
H股,00019.XHKG,太古A,太古股份公司A,太古股份公司A,SWIRE PACIFIC A,太古股份有限公司A,Swire Pacific Limited A,www.swirepacific.com,太古股份有限公司是一家主要从事投资物业，生产和销售饮料以及经营航空公司的香港投资控股公司。公司及其子公司通过五大分部运营。地产分部主要在香港及中国内地从事物业投资、酒店投资以及物业买卖。物业投资组合包括办公楼及零售物业、酒店式住宅及其他高尚住宅物业。饮料分部从事生产、推广及经销可口可乐公司产品。其产品包括汽水和饮用水等。航空分部从事通过经营航空公司而提供客运服务和货运服务。贸易及工业分部从事零售业务以及销售汽车等。海洋服务部门为海上能源行业提供支援服务。,香港金钟道88号太古广场一座33楼,1940-03-12,1959-04-14,综合企业,,
H股,00021.XHKG,大中华地产,大中华地产控股,大中华地产控股,GREAT CHI PPT,大中华地产控股有限公司,Great China Properties Holdings Limited,www.greatchinaproperties.com,大中华地产控股有限公司是一家主要从事物业业务的香港投资控股公司。该公司主要业务包括物业发展及投资以及证券投资。其主要投资物业包括广东金丽湾度假村及广东东方新天地塔楼。该公司主要在中国发展业务。,香港湾仔港湾道18号中环广场6403A-4室,1954-01-27,1988-12-30,地产,,
H股,00022.XHKG,茂盛,茂盛控股,茂盛控股,MEXAN,茂盛控股有限公司,Mexan Limited,www.mexanhk.com,茂盛控股有限公司是一家主要从事酒店业务的香港投资控股公司。该公司主要业务包括酒店经营以及提供餐饮等酒店相关服务。其主要经营位于青衣的盛逸酒店。该公司主要在香港开展业务。,香港新界青衣青衣路1号蓝澄湾酒店第二座永伦800酒店七楼,,1972-12-14,酒店、赌场及消闲设施,,
