化学制药,制药
LED,led
影视动漫,影视
医药生物,医药商业
动物保健,医疗保健用品
食品、饮料与烟草,烟草
非银金融,信托投资管理
电子制造,消费电子产品
通信,通信设备
化工,商品化工
汽车整车,汽车
化学原料,其他化学原料
农林牧渔,农产品
新能源发电,能源设备与服务 
文化传媒,教育服务
交通运输,交通基本设施
专用设备,建筑、农用机械与重型卡车
农药,化肥与农用药剂
航运,航空运输
国防军工,航空航天与国防
航运,航空公司
稀有金属,贵重金属与矿石
机械设备,工业机械
纺织服装,纺织
燃气,石油与天然气
